"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NR5A2",-1.31437212088423,3.28636853680171,-8.95192118719469,4.60450835930679e-18,9.47827843095454e-17,30.131654183006
"TNFSF10",-1.63829292652603,7.94471288864273,-8.93483400580173,5.27575849030688e-18,1.07976179753244e-16,29.9976446879885
"ANPEP",-3.31797639927642,6.7070310564,-8.9311027834853,5.43474918085534e-18,1.10805616171122e-16,29.9684077026852
"PIGZ",-2.0851314897028,7.20111549067351,-8.92446185014104,5.72954132427491e-18,1.16593437595983e-16,29.9163938354671
"PLAC9",-1.09964006879515,4.91283794259487,-8.91690790191343,6.08413474372544e-18,1.23222471155622e-16,29.8572646693687
"TARP",-1.34616396584787,4.8763748513812,-8.9061317432578,6.6278679126224e-18,1.33727718308785e-16,29.7729792287264
"TFCP2L1",-1.78284959296896,6.43207524562051,-8.88862373960192,7.61555038097297e-18,1.52933707697603e-16,29.6362060986014
"FAM83B",-1.11950824907057,3.80868513617094,-8.88095877572365,8.0925413369726e-18,1.61601243688872e-16,29.5763915961032
"LRRC1",-1.03846858347461,5.01015041183077,-8.87528613326453,8.46447340548589e-18,1.68242235586062e-16,29.5321497219116
"ANK3",-1.50013860499927,7.7083332655248,-8.87059926777559,8.78449382999923e-18,1.74117142546933e-16,29.4956123292021
"ACADVL",-1.08862267575981,9.94515537477095,-8.86972134643963,8.84575617236098e-18,1.75168926909024e-16,29.4887699537413
"MAOA",-2.4552860405928,8.50451925971794,-8.84017455853509,1.11734045819032e-17,2.18828721999566e-16,29.2587882869434
"CA12",-2.83285095852435,9.03857287767692,-8.83955381290416,1.12283050329152e-17,2.19702558276831e-16,29.253962903739
"MT1E",-2.69495545506454,9.94723425007522,-8.82764539697734,1.23347237828067e-17,2.40690450289708e-16,29.1614426003193
"SH3RF1",-1.09251968064218,7.91320388417264,-8.80370803346894,1.4895311262783e-17,2.8828633673178e-16,28.9757539462658
"CPT1A",-1.0626303004707,9.10864537741369,-8.79083697505991,1.6482747398412e-17,3.17285462758442e-16,28.8760691038869
"GCNT3",-3.16718957941128,8.53883590798119,-8.7814022136282,1.77516018653962e-17,3.39873187327887e-16,28.8030689127154
"EPHX2",-1.73097704830221,7.05569342781539,-8.77520236663961,1.863752783369e-17,3.55560765377192e-16,28.7551311334546
"NAT2",-2.33492813735727,7.06140338742735,-8.76360059990333,2.0414458226976e-17,3.88420061385392e-16,28.665494946522
"BDKRB1",-1.00524676181142,5.081873794,-8.7455029079814,2.3526310100605e-17,4.42505869647559e-16,28.5258523683561
"SLC26A2",-3.69281073572319,8.58805920539658,-8.74133908164796,2.43061790418314e-17,4.56370938125493e-16,28.4937554610099
"ACVR1C",-2.20067211032127,6.3422795461453,-8.73758150774675,2.50318775888955e-17,4.67804655668791e-16,28.464800232773
"SLCO2A1",-1.56739672068514,6.52350153140683,-8.73630792358429,2.5282674719896e-17,4.71803415493466e-16,28.4549883787708
"SAMD9",-1.68599935494756,5.90183925088206,-8.73438213403982,2.56666334637462e-17,4.78133354158557e-16,28.44015393867
"GRAMD1C",-1.70538392917482,5.28131263095897,-8.73083521495164,2.63889626157159e-17,4.90733650313317e-16,28.4128384437894
"NXPE1",-3.1343945061435,6.81387633601196,-8.72555932826471,2.75007467941179e-17,5.09634394405825e-16,28.3722236169341
"B3GNT6",-1.35972258412098,5.11557437059316,-8.70404905688259,3.25335311763707e-17,5.97716217236039e-16,28.2068286945624
"VIP",-2.63067099094699,4.23091726734017,-8.70086708161908,3.33515932659375e-17,6.11169376769542e-16,28.1823887982828
"HSBP1L1",-1.01125064992022,7.1332806360718,-8.69791893860538,3.41276796070191e-17,6.24855295769645e-16,28.1597510448872
"ATP2B1",-1.16264999602724,7.29243073078975,-8.66604949957717,4.37460815387638e-17,7.92137732405734e-16,27.9154142481161
"DGKA",-1.23283754166375,6.76658056733675,-8.63867920153243,5.41143060942897e-17,9.70831551903181e-16,27.7061239829669
"STK17B",-1.48252799409568,5.62472747997436,-8.63202621901093,5.6981308232485e-17,1.02140907131167e-15,27.6553284323494
"APOBEC3A",-1.47287760665631,4.01131308444786,-8.62511720110549,6.01176327707546e-17,1.07672544795701e-15,27.6026100774427
"FEM1C",-1.20068773025757,7.39722530230769,-8.61706005977772,6.39912433671533e-17,1.14322817477087e-15,27.5411723592304
"CAPN2",-1.05739768216134,11.1505400069624,-8.59536074663755,7.56939942631061e-17,1.34220213727783e-15,27.3759307400398
"B4GALT4",-1.11554797706463,7.3899101058,-8.58497662158185,8.20196987164843e-17,1.44716342070613e-15,27.2969691800317
"BSG",-1.22175584717816,9.76470571675044,-8.57255286379111,9.02775644455696e-17,1.58762199136501e-15,27.2025953732607
"MS4A1",-1.77018241154045,4.24040319995043,-8.56695216738811,9.42640960820532e-17,1.65228953321184e-15,27.1600858323177
"IMPA1",-1.36760818592383,9.14089832424786,-8.56667050975299,9.4469110284966e-17,1.65452580283514e-15,27.157948607433
"LGR4",-1.53798748356956,7.62028984182393,-8.55824520291581,1.00809802477242e-16,1.76413026169635e-15,27.0940423991004
"ETNK1",-1.66740817377841,7.70710365259487,-8.55114963845916,1.06474776347766e-16,1.8586981586787e-15,27.040260208353
"ITPRID2",-1.16847519835708,8.97536236364443,-8.54946281056693,1.07867151205944e-16,1.8814672814836e-15,27.0274796712638
"PIGR",-3.53817662597083,8.44422485494017,-8.54018524437842,1.15853157655582e-16,2.01582607461467e-15,26.9572216454316
"LPCAT4",-1.19297484233782,6.16557389907009,-8.53461060655587,1.20929972877772e-16,2.09562914069696e-15,26.9150340253073
"ABCD3",-1.65477395480788,6.79878351998974,-8.52115433883545,1.34108570001388e-16,2.31461859064592e-15,26.8132882694233
"BICDL2",-1.00730375013725,6.80401125873676,-8.51728554302597,1.38153624369613e-16,2.3729328713067e-15,26.7840585893709
"PLSCR4",-1.59286672341129,7.01902692753846,-8.50532909441862,1.51432593328318e-16,2.59267645965237e-15,26.6937900834335
"ELOVL6",-1.66259250071174,7.46932125687009,-8.49382392685646,1.65398743632201e-16,2.81824159106e-15,26.6070219202214
