"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM117A",0.111005188549742,7.0175094206171,0.883286556101682,0.377443981021533,0.470116324248738,-6.92127816485824
"LOC105376387",-0.0299732667635288,2.60989908216239,-0.882853354438129,0.377677829339103,0.470380169007264,-6.92165917613425
"H4C1",0.0385236462432561,3.16277616831624,0.882699888461867,0.377760693886362,0.470455950706411,-6.92179410843296
"ZGLP1",0.0533808661523172,5.8304736476718,0.882536614366423,0.377848866695201,0.470538333994426,-6.92193763866532
"LINC02059",-0.0259456353403393,2.54525592025641,-0.882334912834622,0.377957808999136,0.470646570597619,-6.92211491294706
"MATN4",0.0548494283403369,5.4057233740735,0.88222897894706,0.3780150333975,0.470672339155577,-6.9222080014277
"AMBRA1",0.0532666478603307,7.58387770971795,0.88220195421157,0.3780296327387,0.470672339155577,-6.92223174739396
"NTRK2",0.044374527481125,4.0710158320906,0.88213571953894,0.378065415600637,0.470672339155577,-6.92228994309351
"LYG1",-0.0852470656776974,4.95603016854359,-0.882133499998344,0.378066614729591,0.470672339155577,-6.92229189317064
"HTR5A",0.050205512250138,4.1681371127641,0.881945232717873,0.378168336555183,0.470771547842845,-6.9224572860376
"BLTP1",-0.0274537081174437,2.52044780541026,-0.881714692929829,0.378292921459225,0.470899204941408,-6.92265976736209
"SLMAP",-0.0295287631806779,2.63127520335043,-0.881562050173342,0.378375424342634,0.470971835297844,-6.92279380327219
"EDN1",-0.0840994025750424,4.43075000064444,-0.881525183189481,0.378395352485519,0.470971835297844,-6.92282617277454
"DUSP23",0.100498450836056,7.72517255163932,0.881374000603207,0.378477079756856,0.471046118544079,-6.92295889815614
"FAM13A",-0.0471311463501934,3.25560284677778,-0.88131886419282,0.378506888469475,0.471055779948003,-6.92300729755924
"C11orf40",0.0352534612041106,2.76119186162564,0.881186006251638,0.378578722170109,0.471117737717456,-6.92312390945028
"FBN1-DT",0.0358795756864427,2.83299313376581,0.880989614159885,0.37868492295877,0.471222453489025,-6.92329625433366
"CCDC9",0.0508365854108223,6.03514452226837,0.880945216015718,0.378708934202002,0.471224889185545,-6.9233352108421
"TENM3",0.0364623286823496,2.99005403416239,0.880742924331963,0.378818348748727,0.471333585146104,-6.9235126839643
"MYH2",0.0656420614979558,2.87246331931795,0.8806300087015,0.378879430489907,0.471382135278785,-6.92361172863625
"RPL36AL",-0.0783181247948635,10.8766584613231,-0.880393021757948,0.379007648401324,0.471503097992031,-6.92381956207381
"TNFRSF19",0.104681964267154,3.55722905527521,0.880368735516363,0.379020789587267,0.471503097992031,-6.92384085753468
"CDH9",-0.039699109002605,2.7401764024,-0.880324983538612,0.379044464312697,0.471505098036293,-6.92387922010397
"RABEPK",-0.0541750238684188,3.13434254618974,-0.880265434290374,0.379076688598387,0.47151773229024,-6.92393143096626
"ARHGEF3",0.110472745823869,7.50844605169231,0.88014294415453,0.379142977823335,0.471551183595426,-6.92403881529611
"IHH",0.117700525997775,6.96009639555556,0.880116691986235,0.379157185904984,0.471551183595426,-6.92406182803849
"MFN1",-0.117495252667374,7.38436606577777,-0.880078678817018,0.379177759805246,0.471551183595426,-6.92409514930195
"ARGLU1",0.128654235065839,9.21443351976409,0.880020323770824,0.379209344696937,0.471551183595426,-6.92414629888344
"LOC550113",0.03675747319165,4.12186821009743,0.880011857108362,0.379213927445135,0.471551183595426,-6.92415371983285
"HOXC4",0.0837114871148392,5.4094005844906,0.879842695179793,0.379305496837378,0.471637601892705,-6.9243019737354
"APOBEC2",0.0568670860161769,4.72343982461881,0.879622524190185,0.379424698471756,0.471758366729474,-6.92449488952115
"WARS2",-0.0313871206589174,2.75521301936068,-0.87930853398309,0.379594734238527,0.471942318542686,-6.92476992723896
"PRM1",-0.0446266498252758,4.80335717720683,-0.87921367257947,0.379646113969819,0.471978734927162,-6.92485300121675
"GALT",-0.0788830819221622,6.93607461696752,-0.878903631312408,0.379814071358455,0.472160068810571,-6.92512445457498
"ART4",0.0645905545782946,3.1296869462735,0.878849806195284,0.379843234484236,0.472168851662381,-6.92517157086052
"ARHGEF26",0.0580939382709686,2.94227966244274,0.878768151182965,0.379887478832375,0.47219637930258,-6.92524304279273
"CABCOCO1",0.0288368899123123,2.72673683400513,0.878389130332229,0.380092890915867,0.472410667316626,-6.92557470977073
"PTGFR",0.0682220813721404,3.09747534662222,0.87833708793471,0.380121100874051,0.472410667316626,-6.92562023898501
"CCDC40",-0.0452972108869258,3.30799885457778,-0.878327673622394,0.380126204107958,0.472410667316626,-6.92562847479482
